item_id,item_difficulty,item_discrimination,n_models_observed,content_length
06fbfc72ceb2480e,0.11309523809523811,0.6430215936222885,28,200
072d2dd757ac0c2d,0.3163265306122449,0.20072780134253718,28,518
08484c3da2d5ab9a,0.16241496598639454,0.3110937700007495,28,239
0a44700b79ff859b,0.5102040816326531,0.7468864517766836,28,490
0abdcfdfbd69330f,0.5629629629629629,0.3321530071882027,27,219
0c3dfca1e81e8813,0.0,,27,97
0d28adcc6b0906f8,0.6130952380952381,0.26785793458967166,28,229
0f358846a6742fca,0.23639455782312924,0.6810763711667436,28,109
11b3f1cfaf65dd76,0.17176870748299322,0.8297424867281485,28,157
146f201e5d80c5a1,0.16872427983539093,0.14414640536411677,27,75
1491666eddb9e3c5,0.5238095238095238,0.25423657114645665,28,120
153029685ad7a874,0.16872427983539093,0.49352143773543444,27,194
160e3ff1009aa80b,0.5153061224489796,0.6592598206559119,28,357
18e833cacae7434d,0.8444444444444444,0.6253313707029883,27,130
1b716688d57635d9,0.43703703703703706,0.8024420653736302,27,101
1fa10bbb3fe95498,0.7555555555555555,0.6615225742740719,27,115
2389526ed90c278b,0.0,,27,121
243f8e16b69337ff,0.604591836734694,0.7074665904462046,28,289
2463158699ed47b2,0.25510204081632654,0.5687436252604265,28,444
258bfa0845369daa,0.7629629629629631,0.3355181961670515,27,181
2662e425edc64ca4,0.8035714285714286,0.392196313286447,28,201
2e4bf2fb3ca9c8d0,0.0,,28,60
31f011ecc41ed09b,0.015306122448979591,0.02941013427664206,28,532
33b08822a6cd4c9d,0.4532312925170068,0.6660971600397264,28,220
3935fb7fd9054d06,0.5317460317460317,0.633070949539941,28,39
3b3ff107f6a194d9,0.44387755102040816,0.7981852551722025,28,345
42323ee0d6e2ee83,0.17857142857142858,0.7651496053098671,28,317
4300b84dcffa0987,0.49489795918367346,0.6051967640825467,28,298
445abb945e67234d,0.6539115646258503,0.5188951879113903,28,212
4567ed25fa1a4f4a,0.5850340136054422,0.572082359142255,28,60
461e812954fc2d39,0.38775510204081637,0.7977417502439814,28,400
472b6b34de8da193,0.6,0.6185395871518184,27,335
47f505120502c3be,0.375,0.5494985062105145,28,98
4853ecf6df881cbd,0.717687074829932,0.31742522481993923,28,138
490c9248bfbf7f6e,0.0663265306122449,0.2655565966411981,28,590
4b5efdaa80a63def,0.7703703703703703,0.24990154484623475,27,81
4faff591bc03d0eb,0.7857142857142857,0.5364573074509905,28,307
50682e7367f517d8,0.4540816326530612,0.6582360266817417,28,582
518b3e8371587f4c,0.874074074074074,0.5033889339771678,27,82
539bbd774b168bab,0.7321428571428571,0.3564447225589856,28,116
55b14291b0e758fb,0.5459183673469388,0.6435257262737936,28,324
55b2b2173b0311d7,0.42857142857142855,0.7184732184015811,28,224
5c007ede7f432d50,0.9566326530612245,0.41370171149752716,28,32
5fc1616c4739ff76,0.0,,27,82
613dab77befa2f48,0.6403061224489796,0.5403095188346088,28,103
61719a915fd46435,0.6879251700680271,0.25116000131963684,28,90
635cc1811549c222,0.0,,27,49
651310c2eefc29c5,0.5994897959183673,0.6774105614478523,28,118
659c724f10a83fb2,0.4897959183673469,0.7003454640426559,28,416
66b6d7a36d9501a2,0.27636054421768713,0.2680310126516349,28,60
69e1df6f4b2ba8b2,0.4379251700680272,0.5223528169189587,28,96
75e85c19d0e4576e,0.4682539682539682,0.5610144805400138,28,204
7a74e23b48b7c83f,0.6037414965986395,0.47821804129924167,28,110
7b729aa2a9b2ae45,1.0,,28,165
7ca848454d817849,0.49489795918367346,0.5435812263771135,28,388
801bb6944a0bea42,0.02551020408163265,0.1267143680326612,28,650
82a614e09f6f5c92,0.3358843537414966,0.3724440102742611,28,160
8443b517e045fb4b,0.6008230452674896,0.39522872988934304,27,72
88832357462919bd,0.4804421768707483,0.6711040668323339,28,122
8ae3ddbe2201a108,0.42222222222222217,0.3962707114424278,27,183
8db2dec78192ac95,0.576530612244898,0.7714899416427488,28,269
8dfa1fc0b9f21e6e,0.8074074074074075,0.2854747403546611,27,132
8e23da30e3f6ad87,0.42857142857142866,0.6735931042998443,28,375
8ecfb964457f2d48,0.6468253968253969,-0.0063275639751337225,28,59
93119e052c8110d6,0.5391156462585035,0.4813736649758427,28,69
939334a3aaae8609,0.2704081632653061,0.5702199558949892,28,263
95da68e50254267e,0.4243197278911564,0.7037631218410925,28,113
96d4bedbf1e243e7,0.44642857142857145,0.0602082051979961,28,72
987028fe1a58cd2e,0.15646258503401358,0.8023859214802523,28,151
9ab33385a5bed740,0.43367346938775514,0.6793681653924699,28,46
9b985621ef1253de,0.33163265306122447,0.531971865105551,28,448
9ee8307ef03a726e,0.2755102040816326,0.19201523024341108,28,392
a43ef157d83d2081,0.6962962962962962,0.637019230473062,27,106
aa3eda554c26a715,0.6666666666666666,0.7226841715419605,27,131
ac3054ed7ee3914d,0.4126984126984127,0.7062373408845145,28,62
b0ce243519449b97,0.2525510204081633,0.6975067577915737,28,227
b38105d7db589002,0.37244897959183676,0.6583364661031981,28,329
b3d3cbe1069eb516,0.6955782312925171,0.3352573228314104,28,38
b3eee15b9c4f244e,0.22619047619047622,0.5151100984478788,28,218
b96a2f81691b65c4,1.0,,28,102
bb3edb0722b17aee,0.27976190476190477,0.2641194219863236,28,176
bf7874980316e97c,0.831275720164609,0.5674241989316827,27,192
bff1a5b368407d6e,0.0,,27,81
c8694ac80628e15e,0.39625850340136054,0.6076611484111015,28,69
cfe9adbf3b7c6c9f,0.12244897959183675,0.5727720600775996,28,230
d48e332378e2baab,0.22874149659863943,0.7538878595883168,28,259
d6679aa84c9ff47f,0.5459183673469388,0.34520372635322133,28,140
d6a59ef75642c12f,0.11851851851851852,0.3960533104412599,27,215
e04574e0e347770c,0.25925925925925924,0.5015894695634677,27,283
e2c55274fe97a7ac,0.09523809523809523,0.5388720843074357,28,292
e2e572a99f5943fe,0.5311791383219954,-0.24400113253077696,28,37
ebfbae3c558f4b33,0.6000000000000001,0.2780046147351369,27,193
f0b6a9d8c0a9bdff,0.6518518518518519,0.5311038463478045,27,79
f6fc1929c28fefce,0.8174603174603174,0.38204408721297245,28,58
fa728209e7177d6b,0.503968253968254,0.7346924596199681,28,80
fa76ca6f6862635f,0.5909863945578231,0.3831389354424122,28,127
fe0d76dd5e4098ea,0.9629629629629629,-0.3055616963320696,27,49
