benchmark_id,mode,keep_rate,actual_keep_rate,naive_bias,naive_rmse,naive_rank_corr,irt_bias,irt_rmse,irt_rank_corr,ipw_bias,ipw_rmse,ipw_rank_corr,dr_bias,dr_rmse,dr_rank_corr
mmbench_v11,features_only,0.5,0.49917547349900526,0.011740993515428793,0.023904985029927044,0.9741940759237655,-0.03860164769142273,0.047114160996152614,0.9647932014405791,-0.00069397768656942,0.03680595261667022,0.9447878855602304,0.0017989234081709036,0.022415857375794462,0.9735645937326288
mmbench_v11,features_only,0.6,0.6009257236168769,0.008515181057006714,0.015651874363536596,0.9891752967511649,-0.04512973426585178,0.04980809775017112,0.9850610861432707,0.0034429762774449008,0.024462628820396543,0.9659728639675498,0.00034354804230255154,0.01123195935557443,0.9934553203292382
mmbench_v11,features_only,0.7,0.7001264963948527,0.005265593172544502,0.009768903034476532,0.9954245864968092,-0.04859091602711089,0.051786449354530466,0.9937440701468724,0.006118136385792187,0.020040815111846643,0.9688129328045958,0.0006675889527887112,0.0065334344195214005,0.9967806861659609
mmbench_v11,features_only,0.8,0.8000241493117446,0.00391601162602702,0.008713186871372375,0.9964729646126085,-0.052384880315735044,0.05548968428609532,0.9939372024164859,0.009498415040787573,0.022723161126346893,0.9605939974566663,0.0013732222120132582,0.00664802465322948,0.9973877817089503
mmbench_v11,features_only,0.9,0.899809105440495,0.001199669334518007,0.005813968224078116,0.9989753365538665,-0.05694795735328796,0.05961628941119074,0.9972648448614948,0.011689021643047349,0.023262520926774607,0.9683674764499275,0.0005230854249701604,0.00430990684499673,0.9992940617139359
mmbench_v11,features_and_score,0.5,0.4994526156004554,0.06607972649464094,0.08374472163991994,0.8438836736641535,0.028133837350336203,0.058732850219041274,0.8613733373882411,0.06108532509827505,0.07553516618707774,0.8660475936345429,0.0625248535878067,0.08201237299778981,0.8640661855561123
mmbench_v11,features_and_score,0.6,0.6010418703066963,0.056317906099486635,0.07487434147010157,0.8681166511319927,0.01744750533920835,0.05213184056908426,0.8782312423129056,0.056030946549001356,0.06791250752729638,0.8933551305929074,0.05179819083238447,0.07019164787031273,0.8963355902742695
mmbench_v11,features_and_score,0.7,0.7000747478696857,0.04396495199298479,0.060677172860757266,0.9141963411490093,0.006067181607166609,0.04280109918450193,0.9092538245596491,0.048474875503127644,0.060565291949426565,0.9328994370896463,0.0411738368005802,0.05856755543196629,0.927536506836766
mmbench_v11,features_and_score,0.8,0.7998689037362435,0.0317975095068791,0.04811674358600817,0.943416608502504,-0.009310134022359353,0.03855152086377975,0.9425735045671777,0.03969659644704377,0.05061881767362717,0.9462263225624002,0.030080608869833905,0.04773269411144056,0.9559299859476525
mmbench_v11,features_and_score,0.9,0.8997976057682356,0.017203821960198453,0.030537839326964824,0.9799789375790231,-0.03195485959489982,0.043137997493222925,0.9756833571776606,0.028823699396437197,0.037013275560596415,0.9805632670391501,0.01657155599034499,0.0299050835192507,0.9851073771784234
ai2d_test,features_only,0.5,0.49955896621681223,-0.001888378281292953,0.017479772386074365,0.9938441220035534,-0.050080173362897135,0.05899094773139657,0.989615102471516,-0.012842062007233507,0.06855620747316458,0.946164215210315,-0.0013314433909259338,0.013609825301833781,0.9968395859681938
ai2d_test,features_only,0.6,0.6005660798323034,-0.0007134555714336906,0.015767180394747365,0.9955796676816362,-0.050638212580380475,0.06143068540484043,0.9907856804320289,-0.0011687703717799555,0.03858419898693235,0.9689837116860867,-0.0013444365980142428,0.017308597064941915,0.9963621278322826
ai2d_test,features_only,0.7,0.7003655391767716,-0.0012324338001529062,0.008497673238443786,0.9983305441962853,-0.0519160371361755,0.06155666377391797,0.9926523074081611,0.0030336261913989017,0.024254468117790567,0.9763330476167433,-0.00023400210207763581,0.007619544123501686,0.9987823719107904
ai2d_test,features_only,0.8,0.7987900108442424,-0.0002706794757542648,0.008550700150005324,0.998525335398973,-0.05407490945003164,0.06468581148153543,0.9936083221266158,0.008186373756952863,0.01936534987511021,0.9855669604848317,0.0011168378105937608,0.00597520957653212,0.9989064963801724
ai2d_test,features_only,0.9,0.9000824992606198,0.00012261003959835985,0.0034693332652473946,0.9994820824151821,-0.05512866389563703,0.06574264661263676,0.9929646324004404,0.011607399080503606,0.02048163283343059,0.9856149207200077,0.0010224085686824165,0.003673312977061517,0.999481716266305
