benchmark,model,naive_bias,dr_bias,true
mmlupro,2c510d705b044c43,0.0161616001278162,-0.006785232573747635,0.39876189827919006
mmlupro,c753cf89cbc09544,0.015125105157494545,-0.0059316144324839115,0.2652236223220825
mmlupro,e972399a710cde48,0.014635071158409119,-0.006805563345551491,0.4180072546005249
mmlupro,7b45f370e9714d4d,0.01460071001201868,-0.005848313681781292,0.34144696593284607
mmlupro,d6537e70bb5ba562,0.014497283846139908,-0.006577684544026852,0.3649035692214966
matharena,4178c8e8a5d89c7f,0.09020643681287766,0.048920538276433945,0.25833332538604736
matharena,3f6b29e1289036a7,0.08869637548923492,0.05091487616300583,0.20416666567325592
matharena,4f0d9b0296c76f94,0.08801654726266861,0.03450559824705124,0.5056179761886597
matharena,3ff9d9cd649848b9,0.07765917479991913,0.06802085787057877,0.7414772510528564
matharena,1d75fb7078078065,0.07674819231033325,0.04028136283159256,0.38333332538604736
