subject_id,display_name,model_mean,n_items_observed,model_obs_rate
009ba01196c2e844,mistral-small-2402-FC,0.6372063415252381,4133,1.0
023942379056d3e1,gemini-1.0-pro-002,0.46839453258519315,4133,1.0
039f6ddf45d8b242,meta-llama_Llama-3.1-70B-Instruct-FC,0.3616328505755072,4133,1.0
059e4891ae785ec7,Qwen_Qwen2.5-0.5B-Instruct,0.3672295000748908,4133,1.0
0b9e75cf89d2a40c,claude-3-5-sonnet-20241022-FC,0.6815449786657142,4133,1.0
0c379560706ede7b,gpt-4-turbo-2024-04-09-FC,0.7805320321531306,4133,1.0
0c9cfa0b1b133de5,Salesforce_xLAM-7b-r,0.692962325492446,3486,0.8434551173481732
0d9723e0d9f9e548,firefunction-v1-FC,0.5894117805199345,4133,1.0
150fcc8874d554e6,gpt-4o-mini-2024-07-18-FC,0.7400986638707423,4133,1.0
162eda995e0e11ab,claude-3-5-haiku-20241022,0.6941185733104437,4133,1.0
191bcc44b058770e,open-mixtral-8x7b,0.5850141524470099,4133,1.0
1a000e12c4af6eb9,gpt-4-turbo-2024-04-09,0.6830445235598877,4133,1.0
1ab895a35ece6765,gemini-1.5-flash-001-FC,0.7064336985701611,4133,1.0
1cde68c82f5f61fc,mistral-large-2407-FC,0.7000864124987037,4133,1.0
21c90781a7c7de8b,gemini-1.5-flash-002-FC,0.724102750221792,4133,1.0
247c298f06e40daf,gpt-4o-2024-11-20,0.7994291014252302,4133,1.0
259b2de8d5c5fa52,Qwen_Qwen2.5-1.5B-Instruct,0.6044320010446311,4133,1.0
25e4cd936a0f0de5,Qwen_Qwen2.5-7B-Instruct,0.6849502071979692,4133,1.0
27bebe765c6e794e,gpt-4o-mini-2024-07-18,0.741569596626456,4133,1.0
2e4c783f6a85c03e,Team-ACE_ToolACE-8B,0.7523026050487942,4133,1.0
300a67558f79d6e1,command-r-plus-FC,0.60367637175041,4133,1.0
3059e5bcb6c9c796,o1-2024-12-17-FC,0.6565829041512564,4133,1.0
305f3b51b71b052d,MadeAgents_Hammer2.1-3b,0.7303926199885551,4133,1.0
330fc356b8036eae,Qwen_Qwen2-1.5B-Instruct,0.3964766743861832,4133,1.0
3a94a234fd25d686,MadeAgents_Hammer2.1-1.5b,0.6949327710760085,4133,1.0
3c32ce4c90e53f73,o1-2024-12-17,0.7776809957792296,4133,1.0
3d0e91d56edcda56,THUDM_glm-4-9b-chat,0.5654705256568309,4133,1.0
3f1e86a6a2d3bb8d,claude-3-opus-20240229,0.6592603474166503,4133,1.0
41d04872adff8d92,meta-llama_Llama-3.1-70B-Instruct,0.6676302620411017,4133,1.0
44295437add91cf8,gemini-2.0-flash-exp-FC,0.7494475360916202,4133,1.0
45dbf200f7f31030,gpt-3.5-turbo-0125-FC,0.6538367149424493,4133,1.0
47dd85f759c4a665,Salesforce_xLAM-1b-fc-r,0.36758321523625176,4133,1.0
4a5a33613ef7fd63,gemini-exp-1206-FC,0.7414831841277523,4133,1.0
4e36e668ec6ce940,deepseek-ai_DeepSeek-Coder-V2-Lite-Instruct,0.2765397747130145,4133,1.0
4f6a89ba936ef273,gemini-1.5-pro-001-FC,0.7372201675250308,4133,1.0
51a0e54357a080a4,google_gemma-2-9b-it,0.6768389539863046,4133,1.0
51c230f9d49a74b1,o1-mini-2024-09-12,0.7498911202516333,4133,1.0
554e3dab1477d6ec,gpt-3.5-turbo-0125,0.6437180033720078,4133,1.0
558d1faf5f056e78,claude-3-5-haiku-20241022-FC,0.6319011901881488,4133,1.0
559433b61395f364,watt-ai_watt-tool-70B,0.791236620464784,4133,1.0
5647d622af5bd5d8,Qwen_Qwen2-7B-Instruct,0.5426159559718717,4133,1.0
583343ebb951e676,mistral-medium-2312,0.7068749783968754,4133,1.0
62457f949cf19f29,Salesforce_xLAM-7b-fc-r,0.5486216246317867,4133,1.0
639192570a233040,google_gemma-2-2b-it,0.32175463459034714,4133,1.0
6726dfe68d721a1e,gemini-1.5-pro-002-FC,0.7420477457859505,4133,1.0
698cd697710453f6,gemini-1.0-pro-002-FC,0.6197502486759685,4133,1.0
704dc9b2235b4960,Qwen_Qwen2.5-72B-Instruct,0.7523077897987164,4133,1.0
70e3e5c181c774bc,gemini-1.5-pro-002,0.7572338783081584,4133,1.0
717cce4bdf9dc5a8,meetkai_functionary-medium-v3.1-FC,0.7638294562925583,4133,1.0
727b246a51836095,open-mixtral-8x22b,0.6641651208430788,4133,1.0
72b00bcd40a5e4c6,NousResearch_Hermes-2-Pro-Llama-3-8B,0.6275915108361273,4133,1.0
755c5aef5ea35eb1,mistral-small-2402,0.462759669558605,4133,1.0
769f497a673d0135,Nexusflow-Raven-v2,0.4719689375871326,4133,1.0
7c5fe2b08b9cd2b4,gemini-1.5-pro-001,0.7483558581913288,4133,1.0
7fbe1614460b98b2,MadeAgents_Hammer2.1-0.5b,0.6014632516447179,4133,1.0
80f223d6a8857c78,databricks-dbrx-instruct,0.5646649691411365,4133,1.0
82a284d2476fb0f9,meta-llama_Llama-3.3-70B-Instruct,0.6505244278532447,4133,1.0
84efd121c3a42520,openbmb_MiniCPM3-4B,0.5257451637804891,4133,1.0
851a4fe727970d3e,watt-ai_watt-tool-8B,0.7691927920454414,4133,1.0
87b014f60049d709,meta-llama_Meta-Llama-3-8B-Instruct,0.46473717158449795,4133,1.0
8c6eea649ff17cbe,google_gemma-2-27b-it,0.6818159298560944,4133,1.0
8d882ce64ba01e94,gemini-1.5-flash-001,0.6850932678902677,4133,1.0
90f7ba0926f632b8,Salesforce_xLAM-8x7b-r,0.6643504276458546,4133,1.0
9629f6cd29e7873b,Qwen_Qwen2.5-32B-Instruct,0.7315284642770731,4133,1.0
99da56b3944aa219,deepseek-ai_DeepSeek-Coder-V2-Instruct-0724,0.7237146620887246,4133,1.0
9d12a9fe706d0b0c,DeepSeek-V3,0.7017996843063381,4133,1.0
a2a4d9fbcd854560,BitAgent_GoGoAgent,0.7244512806332308,4133,1.0
a2fb9b9155c1cdcd,MadeAgents_Hammer2.1-7b,0.7466708144666043,4133,1.0
a38096c3d4de4973,meetkai_functionary-small-v3.1-FC,0.7227239907980291,4133,1.0
a4fc1b00c7583edb,claude-3-opus-20240229-FC,0.6922511031995667,4133,1.0
a5781ad6243693cd,firefunction-v2-FC,0.6765113546023296,4133,1.0
ab059ca323324400,meta-llama_Llama-3.1-8B-Instruct-FC,0.34577231650785967,4133,1.0
b1038632e6361518,Qwen_Qwen2.5-14B-Instruct,0.7268103418478449,4133,1.0
b6912233f54b6a22,open-mistral-nemo-2407-FC,0.6509274941527543,4133,1.0
b7dcbb107ba2afca,meta-llama_Llama-3.1-8B-Instruct,0.6329554226723353,4133,1.0
bc60c2df2072986d,open-mixtral-8x22b-FC,0.5972165574028628,4133,1.0
ce8041ab459c3167,claude-3-5-sonnet-20241022,0.6788264414564923,4133,1.0
d3699808e6f983e8,Salesforce_xLAM-8x22b-r,0.7124946712292466,4133,1.0
